Date,Close,Volatility,Volume,Libor,US 10y Treasury yield,CBOE VIX,WTI Crude Oil Futures,Gold
2022-07-15,16049.2,16.36,205768080,2.73757,2.9152,1932.81494,7784.71,1708.17
2022-07-14,15938.65,16.17,228603440,2.74029,2.9595,2109.91431,7654.83,1709.94
2022-07-13,15966.65,16.17,233264096,2.512,2.9336,2135.94214,7669.32,1735.51
2022-07-12,16058.3,16.28,208648704,2.483,2.9687,2168.02686,7613.91,1726
2022-07-11,16216,16.07,255915072,2.45514,2.9928,2080.06738,8273.38,1733.96
2022-07-08,16220.6,16.11,281102368,2.423,3.0803,1953.51587,8307.99,1742.48
2022-07-07,16132.9,17.06,264615216,2.42757,2.9945,2063.76001,8129.22,1740.16
2022-07-06,15989.8,17.2,288375296,2.39057,2.928,2112.91284,7788.45,1738.86
2022-07-05,15810.85,17.06,254164464,2.34829,2.8054,2181.00269,7879.8,1764.76
2022-07-04,15835.35,17.15,304328480,2.32171,#N/A,2173.57617,#N/A,1808.15
2022-07-01,15752.05,17.11,364090144,2.29286,2.8803,2107.35083,8558.05,1811.43
2022-06-30,15780.25,17.12,306027776,2.28514,3.0129,2266.396,8348.8,1807.27
2022-06-29,15799.1,19.27,444949536,2.27714,3.0891,2223.33618,8667.54,1817.73
2022-06-28,15850.2,20.87,251865152,2.25043,3.1715,2240.26416,8828.35,1820.01
2022-06-27,15832.05,20.86,210932512,2.23157,3.1997,2114.19507,8595.63,1822.85
2022-06-24,15699.25,22.21,219599376,2.23443,3.1301,2130.87817,8421.78,1826.88
2022-06-23,15556.65,22.06,259171808,2.19729,3.087,2270.25464,8148.69,1822.77
2022-06-22,15413.3,21.85,220889584,2.18457,3.1561,2264.80493,8307.41,1837.72
2022-06-21,15638.8,22.43,262794688,2.15443,3.2749,2358.4519,8644.01,1832.98
2022-06-20,15350.15,21.59,260022432,2.12343,#N/A,2418.13062,#N/A,1838.74
2022-06-17,15293.5,21.52,342629984,2.09586,3.2256,2428.92749,8548.45,1839.39
2022-06-16,15360.6,21.56,264735952,2.06343,3.1952,2568.22192,9165.32,1857.33
2022-06-15,15692.15,21.2,183011232,2.02957,3.2839,2314.42676,9010.01,1833.82
2022-06-14,15732.1,21.21,225425856,2.00329,3.4733,2550.46069,9278.87,1808.49
2022-06-13,15774.4,22.14,225534384,1.82886,3.3598,2656.45166,9442.82,1819.26
